n 1000
e 0 2
e 0 43
e 0 130
e 0 418
e 0 439
e 0 447
e 0 824
e 0 853
e 1 49
e 1 134
e 1 446
e 1 527
e 1 803
e 1 987
e 2 323
e 2 457
e 2 501
e 3 191
e 3 912
e 3 940
e 4 92
e 4 311
e 4 338
e 4 483
e 4 592
e 4 800
e 4 851
e 5 12
e 5 39
e 5 286
e 5 600
e 5 651
e 5 803
e 7 86
e 7 208
e 7 748
e 7 831
e 7 939
e 8 434
e 8 647
e 8 686
e 8 716
e 8 945
e 9 197
e 9 567
e 9 863
e 10 63
e 10 542
e 10 692
e 10 736
e 10 805
e 10 919
e 11 374
e 11 495
e 11 525
e 11 546
e 11 997
e 12 136
e 12 489
e 12 597
e 12 616
e 12 975
e 13 254
e 13 640
e 13 902
e 13 969
e 14 596
e 14 680
e 14 771
e 14 871
e 15 144
e 15 473
e 15 525
e 15 594
e 15 933
e 16 73
e 16 469
e 16 596
e 16 743
e 17 272
e 17 459
e 17 588
e 18 281
e 18 595
e 18 724
e 19 88
e 19 397
e 19 615
e 19 936
e 20 21
e 20 537
e 20 796
e 21 73
e 21 89
e 21 252
e 21 523
e 21 623
e 21 628
e 21 997
e 22 138
e 22 180
e 22 304
e 22 362
e 22 373
e 22 484
e 22 665
e 22 970
e 23 202
e 23 352
e 23 640
e 23 657
e 23 886
e 24 93
e 24 221
e 24 376
e 24 400
e 24 450
e 24 457
e 25 460
e 26 101
e 26 168
e 26 171
e 26 238
e 26 270
e 26 344
e 26 706
e 26 751
e 27 68
e 27 304
e 27 898
e 27 946
e 28 79
e 28 288
e 29 92
e 29 232
e 29 685
e 30 63
e 30 407
e 30 431
e 30 435
e 30 580
e 30 621
e 30 819
e 30 825
e 30 986
e 31 211
e 31 561
e 31 819
e 31 980
e 32 71
e 32 177
e 33 129
e 33 599
e 34 89
e 34 185
e 34 344
e 34 528
e 35 393
e 35 478
e 35 835
e 35 889
e 36 103
e 36 457
e 36 824
e 36 915
e 36 966
e 36 969
e 36 974
e 36 988
e 37 58
e 37 63
e 37 74
e 37 421
e 37 977
e 38 182
e 38 643
e 38 755
e 38 814
e 39 125
e 39 267
e 39 445
e 39 465
e 39 520
e 39 700
e 39 704
e 39 782
e 39 967
e 40 46
e 40 88
e 40 121
e 40 412
e 40 522
e 40 550
e 40 779
e 40 927
e 41 127
e 41 218
e 41 949
e 42 393
e 42 421
e 42 551
e 43 392
e 43 785
e 43 891
e 44 77
e 44 307
e 44 534
e 44 574
e 44 634
e 44 647
e 45 511
e 45 519
e 45 718
e 45 729
e 46 322
e 46 434
e 46 474
e 46 556
e 46 566
e 46 575
e 46 698
e 46 744
e 47 463
e 47 666
e 47 710
e 48 86
e 48 553
e 48 921
e 48 962
e 48 971
e 49 197
e 49 333
e 49 355
e 49 592
e 49 821
e 50 216
e 50 523
e 51 304
e 51 529
e 51 569
