n 100
e 0 1
e 0 3
e 0 14
e 1 2
e 1 4
e 1 6
e 1 98
e 2 3
e 2 15
e 2 61
e 3 5
e 3 7
e 4 5
e 4 7
e 4 10
e 5 6
e 5 11
e 5 19
e 6 8
e 6 9
e 7 8
e 7 9
e 8 12
e 8 13
e 9 10
e 9 11
e 10 12
e 11 12
e 11 13
e 11 16
e 12 14
e 13 15
e 14 15
e 15 18
e 16 17
e 16 19
e 16 30
e 17 18
e 17 21
e 17 23
e 18 19
e 18 31
e 19 20
e 19 22
e 20 21
e 20 24
e 20 25
e 20 57
e 21 22
e 21 26
e 22 23
e 22 27
e 23 24
e 23 25
e 24 26
e 24 27
e 25 28
e 25 29
e 26 28
e 27 28
e 27 29
e 28 30
e 29 31
e 29 73
e 30 31
e 30 84
e 31 86
e 32 33
e 32 37
e 32 39
e 32 43
e 33 34
e 33 38
e 33 40
e 33 97
e 34 35
e 34 41
e 34 79
e 35 36
e 35 39
e 35 42
e 36 37
e 36 40
e 36 43
e 37 38
e 37 41
e 38 39
e 38 42
e 39 40
e 40 41
e 41 42
e 41 45
e 42 43
e 43 72
e 44 45
e 44 45
e 44 47
e 44 57
e 45 46
e 45 48
e 45 50
e 46 47
e 46 59
e 47 49
e 47 51
e 48 49
e 48 51
e 48 53
e 49 50
e 49 55
e 50 52
e 50 54
e 51 52
e 51 54
e 52 53
e 52 55
e 53 56
e 54 56
e 54 58
e 54 99
e 55 56
e 55 58
e 56 57
e 57 59
e 58 59
e 60 61
e 60 66 
e 60 62
e 60 68
e 61 65
e 61 71
e 62 63
e 62 67
e 62 69
e 63 64
e 63 70
e 63 76
e 64 65
e 64 68
e 64 71
e 65 66
e 65 69
e 66 67
e 66 70
e 67 68
e 67 71
e 67 87
e 68 69
e 69 70
e 70 71
e 72 73
e 72 77
e 72 79
e 72 83
e 73 74
e 73 78
e 73 80
e 74 75
e 74 81
e 74 90
e 75 76
e 75 79
e 75 82
e 76 77
e 76 80
e 76 83
e 77 78
e 77 81
e 78 79
e 78 82
e 79 80
e 80 81
e 81 82
e 82 83
e 83 88
e 84 85
e 84 87
e 84 98
e 85 86
e 85 88
e 85 90
e 86 87
e 86 99
e 87 89
e 87 91
e 88 89
e 88 91
e 88 94
e 89 90
e 89 95
e 90 92
e 90 93
e 91 92
e 91 93
e 92 94
e 92 95
e 93 96
e 93 97
e 94 96
e 95 96
e 95 97
e 96 98
e 97 99
e 98 99
