n 564
e 0 1
e 0 3
e 0 6
e 0 9
e 1 2
e 1 5
e 1 11
e 2 3
e 2 4
e 2 8
e 3 7
e 4 6
e 4 7
e 4 10
e 5 6
e 5 7
e 5 9
e 6 8
e 7 11
e 8 9
e 8 11
e 8 14
e 9 10
e 9 13
e 9 19
e 10 11
e 10 12
e 10 16
e 11 15
e 11 18
e 12 14
e 12 15
e 12 18
e 13 14
e 13 15
e 13 17
e 14 16
e 15 19
e 16 17
e 16 19
e 16 22
e 16 25
e 17 18
e 17 21
e 17 27
e 18 19
e 18 20
e 18 24
e 19 23
e 20 22
e 20 23
e 20 26
e 21 22
e 21 23
e 21 25
e 22 24
e 23 27
e 24 25
e 24 27
e 24 30
e 25 26
e 25 29
e 25 35
e 26 27
e 26 28
e 26 32
e 27 31
e 27 34
e 28 30
e 28 31
e 28 34
e 29 30
e 29 31
e 29 33
e 30 32
e 31 35
e 32 33
e 32 35
e 32 38
e 32 41
e 33 34
e 33 37
e 33 43
e 34 35
e 34 36
e 34 40
e 35 39
e 36 38
e 36 39
e 36 42
e 37 38
e 37 39
e 37 41
e 38 40
e 39 43
e 40 41
e 40 43
e 40 46
e 41 42
e 41 45
e 41 51
e 42 43
e 42 44
e 42 48
e 43 47
e 43 50
e 44 46
e 44 47
e 44 50
e 45 46
e 45 47
e 45 49
e 46 48
e 47 51
e 48 49
e 48 51
e 48 54
e 48 57
e 49 50
e 49 53
e 49 59
e 50 51
e 50 52
e 50 56
e 51 55
e 52 54
e 52 55
e 52 58
e 53 54
e 53 55
e 53 57
e 54 56
e 55 59
e 56 57
e 56 59
e 56 62
e 57 58
e 57 61
e 57 67
e 58 59
e 58 60
e 58 64
e 59 63
e 59 66
e 60 62
e 60 63
e 60 66
e 61 62
e 61 63
e 61 65
e 62 64
e 63 67
e 64 65
e 64 67
e 64 70
e 64 73
e 65 66
e 65 69
e 65 75
e 66 67
e 66 68
e 66 72
e 67 71
e 68 70
e 68 71
e 68 74
e 69 70
e 69 71
e 69 73
e 70 72
e 71 75
e 72 73
e 72 75
e 72 78
e 73 74
e 73 77
e 73 83
e 74 75
e 74 76
e 74 80
e 75 79
e 75 82
e 76 78
e 76 79
e 76 82
e 77 78
e 77 79
e 77 81
e 78 80
e 79 83
e 80 81
e 80 83
e 80 86
e 80 89
e 81 82
e 81 85
e 81 91
e 82 83
e 82 84
e 82 88
e 83 87
e 84 86
e 84 87
e 84 90
e 85 86
e 85 87
e 85 89
e 86 88
e 87 91
e 88 89
e 88 91
e 88 94
e 89 90
e 89 93
e 89 99
e 90 91
e 90 92
e 90 96
e 91 95
e 91 98
e 92 94
e 92 95
e 92 98
e 93 94
e 93 95
e 93 97
e 94 96
e 95 99
e 96 97
e 96 99
e 96 102
e 96 105
e 97 98
e 97 101
e 97 107
e 98 99
e 98 100
e 98 104
e 99 103
e 100 102
e 100 103
e 100 106
e 101 102
e 101 103
e 101 105
e 102 104
e 103 107
e 104 105
e 104 107
e 104 110
e 105 106
e 105 109
e 105 115
e 106 107
e 106 108
e 106 112
e 107 111
e 107 114
e 108 110
e 108 111
e 108 114
e 109 110
