n 1000
e 0 753
e 0 646
e 0 519
e 0 480
e 0 424
e 1 911
e 1 863
e 1 211
e 2 398
e 2 941
e 2 627
e 2 72
e 2 213
e 2 6
e 2 858
e 2 731
e 4 423
e 4 98
e 4 290
e 4 760
e 4 27
e 4 892
e 4 314
e 5 67
e 5 215
e 5 273
e 5 98
e 5 843
e 5 696
e 5 413
e 6 403
e 6 30
e 7 115
e 7 858
e 7 87
e 7 456
e 7 388
e 7 731
e 7 663
e 7 497
e 9 646
e 9 188
e 9 636
e 9 284
e 9 39
e 9 49
e 10 333
e 10 166
e 10 592
e 10 702
e 10 968
e 10 122
e 11 382
e 11 319
e 11 546
e 11 917
e 11 627
e 14 202
e 14 468
e 14 243
e 14 473
e 15 655
e 15 802
e 15 378
e 15 698
e 15 918
e 15 617
e 15 606
e 17 551
e 17 423
e 17 462
e 17 426
e 17 360
e 18 923
e 18 674
e 18 809
e 18 668
e 19 141
e 19 695
e 19 413
e 19 827
e 19 658
e 20 253
e 20 893
e 20 952
e 20 63
e 20 766
e 21 171
e 21 469
e 21 503
e 21 961
e 21 194
e 22 621
e 22 294
e 22 69
e 22 441
e 23 291
e 23 904
e 23 264
e 23 433
e 23 618
e 23 773
e 23 167
e 24 674
e 24 253
e 24 866
e 24 106
e 24 60
e 24 512
e 25 968
e 25 534
e 25 71
e 25 790
e 27 59
e 27 120
e 27 748
e 27 135
e 28 94
e 28 267
e 28 869
e 28 202
e 28 737
e 28 834
e 28 887
e 28 331
e 28 883
e 29 860
e 29 410
e 29 378
e 29 738
e 29 744
e 29 887
e 30 621
e 30 274
e 30 803
e 30 381
e 30 145
e 31 901
e 31 568
e 31 633
e 31 497
e 31 849
e 32 672
e 32 472
e 32 360
e 32 496
e 35 148
e 35 272
e 35 836
e 36 593
e 36 835
e 36 271
e 36 376
e 37 571
e 37 535
e 37 720
e 38 512
e 38 855
e 38 84
e 38 663
e 38 105
e 38 325
e 38 198
e 38 606
e 38 762
e 39 300
e 39 997
e 39 462
e 39 54
e 41 310
e 41 732
e 41 986
e 41 936
e 42 969
e 42 525
e 42 257
e 42 362
e 42 530
e 42 607
e 42 46
e 43 827
e 43 979
e 43 218
e 43 328
e 43 621
e 45 236
e 45 886
e 45 806
e 45 515
e 46 156
e 46 137
e 46 477
e 47 244
e 47 699
e 47 950
e 48 577
e 48 178
e 48 507
e 48 489
e 49 280
e 49 185
e 49 194
e 49 213
e 49 897
e 50 900
e 50 738
e 50 363
e 50 186
e 50 59
e 50 945
e 50 266
e 50 223
e 51 108
e 51 65
e 51 561
e 51 535
e 51 392
e 53 223
e 53 774
e 53 369
e 53 250
e 53 821
e 54 906
e 54 838
e 54 200
e 54 810
e 56 111
e 56 283
e 56 569
e 56 814
e 56 202
e 56 674
e 56 549
e 56 408
e 56 545
e 57 825
e 57 154
e 57 462
e 57 367
e 58 687
e 58 707
e 58 358
e 58 828
e 58 739
e 59 946
e 59 358
e 60 735
e 60 373
e 60 343
e 60 951
e 60 261
e 61 353
e 61 656
e 61 518
e 61 707
e 61 552
e 62 499
e 62 389
e 62 597
e 62 372
e 62 191
e 63 866
e 63 514
e 63 809
e 63 156
e 64 937
e 64 576
e 64 608
e 64 168
e 64 672
e 65 952
e 65 398
e 67 339
e 67 178
e 67 294
e 68 981
e 68 766
e 68 343
e 69 956
e 69 864
e 69 675
e 69 649
e 69 201
e 71 117
e 71 257
e 71 398
e 71 451
e 71 710
e 71 721
e 72 106
e 72 234
e 72 129
e 73 989
e 73 870
e 73 469
e 75 190
e 75 699
e 75 960
e 75 641
e 75 310
e 75 241
e 75 319
e 76 279
e 76 689
e 76 962
e 76 886
e 76 680
e 76 979
e 77 351
e 77 705
e 77 840
e 78 265
e 78 166
e 78 106
e 78 692
e 79 792
e 79 660
e 79 641
e 79 450
e 79 575
e 80 526
e 80 843
e 80 641
e 83 311
e 83 610
e 83 455
e 84 137
e 84 418
e 84 683
e 85 441
e 85 86
e 85 509
e 86 309
e 86 215
e 86 703
e 86 412
e 87 813
e 87 925
e 88 203
e 88 224
e 88 311
e 88 945
e 88 438
e 89 952
e 89 314
e 89 505
e 90 743
e 90 964
e 90 872
e 91 972
e 91 910
e 91 611
e 93 604
e 93 526
e 93 765
e 93 828
e 93 773
e 94 472
e 94 881
e 94 237
e 94 503
e 95 586
e 95 646
e 95 624
e 95 803
e 95 123
e 97 157
e 97 789
e 97 911
e 98 215
e 98 377
e 98 110
e 98 768
e 99 911
e 99 408
e 99 365
e 99 762
e 100 379
e 100 878
e 100 109
e 101 293
e 101 128
e 101 186
e 101 823
e 102 609
e 102 996
e 102 569
e 104 378
e 104 159
e 104 546
e 104 252
e 104 828
e 104 698
e 105 179
e 105 731
e 106 656
e 106 174
e 106 272
e 107 190
e 107 538
e 107 979
e 108 109
e 108 930
e 108 610
e 108 762
e 108 778
e 108 915
e 108 394
e 108 132
e 109 285
e 109 352
e 109 618
e 110 695
e 110 598
e 111 883
e 111 919
e 111 572
e 112 183
e 112 445
e 112 199
e 112 892
e 112 339
e 115 208
e 115 975
e 115 919
e 115 726
e 116 886
e 116 368
e 116 236
e 116 534
e 117 692
e 117 900
e 117 738
e 120 859
e 120 321
e 120 937
e 120 773
e 120 616
e 122 985
e 122 760
e 122 642
e 123 201
e 123 396
e 123 941
e 123 248
e 124 267
e 124 223
e 124 494
e 124 334
e 126 550
e 126 230
e 126 546
e 127 251
e 127 730
e 127 254
e 128 697
e 128 242
e 128 534
e 128 557
e 128 320
e 128 816
e 128 214
e 128 961
e 129 674
e 129 575
e 129 936
e 130 256
e 130 528
e 130 828
e 131 720
e 131 948
e 131 688
e 132 343
e 132 691
e 132 789
e 134 409
e 134 320
e 134 393
e 134 591
e 135 924
e 135 910
e 135 517
e 135 598
e 135 699
e 135 194
e 135 806
e 135 587
e 137 855
e 137 791
e 137 327
e 137 704
e 137 729
e 138 378
e 138 680
e 138 459
e 139 311
e 139 338
e 139 367
e 139 531
e 139 707
e 139 831
e 140 772
e 140 596
e 140 442
e 141 792
e 141 359
e 141 211
e 141 496
e 141 318
e 143 300
e 143 490
e 143 691
e 143 803
e 145 943
e 145 729
e 145 736
e 145 578
e 145 557
e 145 786
e 147 720
e 147 555
e 147 202
e 148 153
e 148 711
e 148 703
e 148 493
e 148 310
e 149 577
e 149 644
e 149 688
e 150 531
e 150 685
e 150 676
e 150 958
e 150 476
e 150 646
e 152 636
e 152 530
e 152 295
e 153 938
e 153 926
e 153 902
e 154 406
e 154 747
e 154 902
e 154 166
e 154 906
e 156 751
e 156 860
e 157 225
e 157 430
e 157 563
e 159 210
e 159 745
e 159 790
e 159 872
e 160 994
e 160 709
e 160 382
e 161 280
e 161 202
e 161 180
e 161 409
e 161 485
e 161 683
e 161 382
e 161 823
e 162 552
e 162 688
e 162 968
e 163 960
e 163 486
e 163 423
e 166 790
e 166 395
e 167 338
e 167 542
e 168 767
e 168 230
e 169 949
e 169 995
e 169 937
e 169 837
e 169 257
e 169 657
e 169 975
e 170 840
