n 1000
e 1 738
e 1 121
e 1 705
e 1 111
e 1 592
e 2 441
e 2 784
e 2 776
e 2 126
e 2 395
e 2 980
e 2 903
e 2 660
e 2 439
e 3 394
e 3 466
e 3 359
e 3 692
e 3 309
e 3 109
e 8 840
e 8 973
e 8 724
e 8 219
e 8 978
e 8 903
e 8 482
e 9 778
e 9 772
e 9 675
e 9 868
e 9 432
e 9 586
e 10 471
e 10 53
e 10 944
e 10 96
e 10 219
e 10 176
e 12 339
e 12 842
e 12 416
e 12 935
e 12 576
e 13 133
e 13 844
e 13 676
e 14 126
e 14 65
e 14 49
e 14 653
e 14 658
e 14 898
e 14 627
e 14 121
e 15 617
e 15 589
e 15 974
e 15 599
e 19 202
e 19 369
e 19 363
e 21 620
e 21 664
e 21 296
e 21 231
e 21 459
e 21 285
e 21 163
e 21 591
e 25 406
e 25 771
e 25 320
e 25 712
e 25 126
e 27 386
e 27 338
e 27 169
e 30 640
e 30 879
e 30 397
e 31 79
e 31 179
e 31 479
e 31 148
e 31 887
e 31 560
e 31 720
e 32 446
e 32 866
e 32 278
e 32 492
e 32 239
e 32 354
e 32 448
e 33 511
e 33 973
e 33 922
e 34 759
e 34 459
e 34 982
e 34 61
e 34 636
e 35 370
e 35 834
e 35 974
e 35 626
e 35 446
e 36 925
e 36 234
e 36 883
e 37 956
e 37 95
e 37 176
e 39 765
e 39 486
e 39 709
e 39 637
e 40 937
e 40 591
e 40 939
e 40 457
e 40 799
e 42 506
e 42 52
e 42 895
e 42 270
e 42 413
e 42 317
e 42 315
e 42 157
e 42 291
e 43 347
e 43 222
e 43 980
e 43 611
e 43 966
e 43 226
e 43 195
e 44 779
e 44 991
e 44 56
e 46 933
e 46 186
e 46 309
e 46 132
e 46 702
e 46 272
e 46 994
e 47 765
e 47 525
e 47 141
e 47 249
e 47 90
e 47 308
e 47 365
e 48 216
e 48 388
e 48 768
e 48 86
e 48 571
e 48 533
e 48 744
e 49 975
e 49 417
e 49 726
e 49 348
e 49 638
e 51 940
e 51 272
e 51 664
e 52 136
e 52 731
e 52 753
e 52 290
e 52 807
e 52 119
e 52 240
e 52 765
e 52 248
e 53 302
e 53 545
e 53 909
e 53 267
e 54 636
e 54 452
e 54 357
e 54 910
e 55 902
e 55 299
e 55 577
e 56 914
e 56 214
e 56 448
e 56 903
e 56 323
e 57 268
e 57 546
e 57 567
e 57 760
e 57 518
e 57 369
e 58 813
e 58 436
e 58 634
e 59 516
e 59 917
e 59 380
e 59 912
e 59 524
e 60 877
e 60 545
e 60 319
e 60 467
e 60 603
e 61 346
e 61 499
e 61 974
e 61 971
e 61 988
e 61 595
e 61 491
e 62 388
e 62 483
e 62 971
e 64 915
e 64 686
e 64 808
e 64 646
e 64 735
e 64 597
e 65 268
e 65 282
e 65 975
e 65 233
e 66 755
e 66 184
e 66 324
e 66 753
e 67 247
e 67 179
e 67 224
e 67 419
e 68 391
e 68 312
e 68 498
e 68 353
e 68 436
e 68 731
e 69 502
e 69 70
e 69 327
e 70 154
e 70 179
e 73 968
e 73 156
e 73 110
e 73 894
e 74 994
e 74 724
e 74 592
e 74 357
e 74 882
e 74 107
e 74 873
e 75 501
e 75 252
e 75 966
e 75 322
e 75 581
e 75 364
e 77 117
e 77 709
e 77 927
e 77 714
e 77 368
e 77 840
e 77 783
e 78 707
e 78 737
e 78 203
e 78 105
e 78 949
e 78 334
e 78 177
e 79 935
e 79 807
e 79 283
e 79 328
e 80 516
e 80 428
e 80 860
e 80 902
e 83 543
e 83 803
e 83 510
e 85 910
e 85 383
e 85 451
e 86 229
e 86 161
e 87 377
e 87 716
e 87 465
e 88 515
e 88 465
e 88 404
e 88 121
e 89 295
e 89 272
e 89 973
e 90 773
e 90 597
e 90 410
e 90 479
e 91 447
e 91 921
e 91 669
e 91 976
e 91 898
e 91 957
e 92 222
e 92 822
e 92 187
e 92 349
e 93 924
e 93 288
e 93 797
e 93 854
e 93 186
e 93 351
e 93 274
e 93 279
e 94 917
e 94 524
e 94 405
e 94 332
e 95 653
e 95 956
e 95 801
e 95 682
e 96 349
e 96 956
e 97 407
e 97 153
e 97 856
e 98 763
e 98 197
e 98 951
e 98 826
e 98 531
e 98 289
e 99 313
e 99 628
e 99 735
e 100 870
e 100 783
e 100 614
e 102 741
e 102 151
e 102 283
e 102 917
e 103 361
e 103 876
e 103 674
e 104 331
e 104 477
e 104 568
e 105 666
e 105 519
e 105 682
e 105 741
e 106 928
e 106 887
e 106 505
e 106 695
e 106 284
e 106 707
e 106 757
e 106 736
e 107 440
e 107 147
e 108 820
e 108 940
e 108 483
e 109 451
e 109 247
e 109 521
e 109 239
e 109 506
e 109 733
e 110 979
e 110 215
e 111 481
e 111 270
e 112 954
e 112 356
e 112 518
e 112 391
e 112 123
e 113 507
e 113 831
e 113 672
e 114 272
e 114 731
e 114 422
e 114 400
e 117 555
e 117 280
e 119 801
e 119 417
e 119 120
e 120 480
e 120 282
e 120 656
e 120 463
e 120 582
e 120 489
e 120 284
e 120 196
e 121 600
e 121 350
e 123 184
e 123 251
e 123 575
e 123 651
e 123 550
e 123 226
e 125 372
e 125 684
e 125 817
e 126 292
e 126 872
e 126 508
e 127 932
e 127 792
e 127 775
e 127 318
e 127 194
e 129 554
e 129 951
e 129 893
e 130 596
e 130 479
e 130 421
e 130 358
e 131 155
e 131 319
e 131 671
e 132 381
e 132 649
e 132 798
e 132 402
e 132 250
e 133 481
e 133 423
e 133 922
e 133 407
e 136 140
e 136 602
e 136 702
e 136 259
e 136 409
e 138 269
e 138 526
e 138 826
e 138 361
e 139 578
e 139 188
e 139 157
e 140 770
e 140 860
e 140 951
e 140 422
e 140 833
e 141 272
e 141 633
e 142 567
e 142 604
e 142 447
e 143 212
e 143 654
e 143 458
e 143 622
e 145 354
e 145 363
e 145 506
e 145 647
e 145 449
e 147 632
e 147 587
e 148 355
e 148 510
e 148 801
e 148 169
e 149 971
e 149 471
e 149 368
e 151 706
e 151 843
e 151 924
e 151 420
e 151 522
e 152 491
e 152 549
e 152 205
e 152 255
e 153 576
e 153 421
e 154 815
e 154 954
e 154 933
e 154 879
e 154 740
e 154 637
e 155 394
e 155 328
e 155 536
e 155 250
e 156 248
e 156 335
e 156 233
e 156 604
e 156 348
e 157 771
e 157 653
e 157 821
e 157 799
e 157 247
e 159 578
e 159 500
e 159 691
e 159 854
e 160 313
e 160 324
e 160 626
e 161 820
e 161 202
e 161 280
e 161 649
e 162 432
e 162 894
e 162 521
e 162 794
e 163 579
e 163 335
e 163 342
e 163 284
e 164 840
e 164 833
e 164 882
e 164 197
e 167 208
e 167 777
e 167 915
e 167 695
e 167 479
e 167 396
e 168 775
e 168 754
e 168 767
e 169 332
e 169 710
e 170 354
e 170 561
e 170 713
e 170 797
e 170 600
e 171 659
e 171 431
e 171 361
e 175 509
e 175 752
e 175 888
e 176 479
e 176 433
e 177 243
e 177 823
e 177 296
e 177 204
e 177 638
e 177 492
e 178 474
e 178 712
e 178 841
e 178 851
e 178 922
e 179 874
e 179 335
e 179 918
e 179 662
e 180 959
e 180 361
e 180 707
e 180 650
e 180 684
e 182 890
e 182 859
e 182 347
e 183 712
e 183 346
e 183 773
e 183 440
e 184 547
e 185 617
e 185 547
e 185 778
e 185 699
e 186 390
e 186 724
e 186 294
e 186 822
e 186 503
e 187 396
e 187 883
e 187 371
e 187 568
e 188 839
e 188 332
e 188 842
e 188 266
e 189 669
e 189 522
e 189 696
e 190 934
e 190 516
e 190 221
e 190 380
e 192 985
e 192 277
e 192 545
e 192 686
e 193 202
e 193 282
e 193 799
e 193 651
e 194 955
e 194 817
e 194 659
e 194 662
e 194 236
e 194 482
e 195 887
e 195 870
e 195 777
e 195 883
e 195 264
e 196 660
e 196 300
e 196 768
e 197 633
e 197 727
e 198 511
e 198 962
e 198 813
e 198 940
e 199 503
e 199 352
e 199 258
e 199 210
e 202 508
e 202 977
e 203 381
e 203 316
e 203 863
e 204 966
e 204 511
e 204 877
e 205 709
e 205 923
e 205 914
e 208 998
e 208 805
e 208 471
e 208 667
e 209 357
e 209 591
e 209 910
e 209 316
e 209 557
e 209 866
e 209 584
e 209 973
e 210 911
e 210 422
e 210 267
e 211 390
e 211 247
e 211 624
e 212 557
e 212 804
e 212 873
e 212 851
e 212 993
e 214 449
e 214 253
e 214 907
e 214 594
e 215 825
e 215 712
e 216 239
e 216 937
e 216 379
e 216 757
e 216 327
e 216 784
e 218 351
e 218 650
e 218 414
e 218 727
e 218 987
e 218 783
e 218 452
e 219 815
e 219 256
e 220 674
e 220 897
e 220 761
e 220 796
e 221 667
e 221 924
e 221 400
e 221 551
e 222 423
e 224 407
e 224 649
