n 2000
e 0 75
e 0 87
e 0 133
e 0 143
e 0 404
e 0 877
e 0 1288
e 1 261
e 1 1559
e 1 1599
e 1 1914
e 2 69
e 2 538
e 2 757
e 2 1686
e 2 1798
e 3 227
e 3 1525
e 3 1772
e 4 324
e 4 333
e 4 755
e 4 771
e 4 1274
e 4 1856
e 4 1961
e 5 510
e 5 535
e 5 578
e 5 1807
e 6 382
e 6 583
e 6 606
e 7 246
e 7 277
e 7 616
e 7 1430
e 7 1642
e 7 1926
e 7 1987
e 8 203
e 8 307
e 8 945
e 8 1132
e 8 1383
e 9 25
e 9 252
e 9 593
e 9 621
e 9 946
e 9 1334
e 9 1734
e 10 83
e 10 344
e 10 350
e 10 1048
e 10 1191
e 10 1273
e 10 1682
e 10 1829
e 11 492
e 11 1667
e 12 1513
e 12 1748
e 13 309
e 13 506
e 13 849
e 13 1266
e 14 1077
e 14 1327
e 14 1491
e 14 1492
e 14 1772
e 15 494
e 15 583
e 15 755
e 15 1303
e 15 1854
e 16 172
e 16 608
e 16 1012
e 16 1071
e 16 1126
e 16 1397
e 16 1508
e 16 1587
e 16 1870
e 17 641
e 17 1417
e 17 1660
e 18 48
e 18 545
e 18 1182
e 18 1199
e 18 1227
e 18 1809
e 18 1894
e 19 111
e 19 134
e 19 411
e 19 984
e 19 1137
e 19 1870
e 19 1875
e 20 146
e 20 377
e 20 882
e 20 953
e 20 1073
e 20 1144
e 20 1266
e 20 1369
e 20 1759
e 21 388
e 21 1294
e 21 1806
e 22 544
e 22 636
e 22 1614
e 22 1929
e 22 1998
e 23 219
e 23 351
e 23 864
e 23 1079
e 23 1805
e 24 412
e 24 549
e 24 1117
e 24 1195
e 24 1408
e 25 48
e 26 167
e 26 886
e 26 1183
e 26 1184
e 26 1639
e 26 1762
e 27 96
e 27 308
e 27 455
e 27 533
e 27 714
e 27 752
e 27 792
e 27 1179
e 28 509
e 28 626
e 28 656
e 28 715
e 28 1588
e 28 1900
e 29 381
e 29 774
e 29 884
e 29 1569
e 30 379
e 30 451
e 30 503
e 30 624
e 30 814
e 31 424
e 31 494
e 31 689
e 33 434
e 33 792
e 33 1195
e 33 1885
e 34 488
e 34 1306
e 34 1313
e 34 1358
e 34 1418
e 34 1903
e 35 61
e 35 218
e 35 434
e 35 453
e 35 662
e 35 693
e 35 1439
e 35 1872
e 36 201
e 36 1482
e 36 1680
e 37 686
e 37 707
e 37 1312
e 38 590
e 38 1070
e 38 1338
e 38 1854
e 39 241
e 39 284
e 39 1386
e 39 1457
e 39 1523
e 39 1552
e 40 285
e 40 663
e 40 819
e 40 1293
e 40 1839
e 41 429
e 41 454
e 41 824
e 41 1094
e 41 1249
e 41 1832
e 41 1995
e 42 752
e 42 895
e 42 1256
e 43 351
e 43 420
e 43 852
e 43 1877
e 44 548
e 44 881
e 44 1139
e 44 1355
e 45 689
e 45 863
e 45 1606
e 46 161
e 46 801
e 46 1157
e 46 1235
e 46 1274
e 46 1877
e 47 327
e 47 465
e 47 688
e 47 1041
e 47 1877
e 48 486
e 48 540
e 48 635
e 48 762
e 48 1067
e 48 1504
e 49 63
e 49 1033
e 49 1243
e 49 1617
e 49 1820
e 50 358
e 50 1293
e 50 1797
e 50 1836
e 50 1845
e 51 329
e 51 1094
e 51 1764
e 52 536
e 52 885
e 52 1074
e 52 1082
e 52 1150
e 52 1318
e 53 112
e 53 1239
e 53 1280
e 53 1653
e 53 1807
e 54 55
e 54 237
e 54 567
e 54 583
e 54 1459
e 54 1971
e 55 1449
e 55 1480
e 56 200
e 56 1129
e 57 500
e 58 285
e 58 461
