n 1000
e 0 369
e 0 343
e 0 744
e 0 562
e 0 333
e 0 190
e 1 711
e 1 835
e 1 754
e 1 343
e 2 646
e 2 518
e 2 40
e 2 344
e 2 261
e 2 993
e 2 641
e 2 680
e 2 934
e 2 777
e 4 892
e 4 112
e 4 942
e 4 930
e 5 501
e 5 329
e 5 988
e 5 447
e 5 860
e 6 347
e 6 473
e 6 944
e 6 664
e 6 879
e 6 565
e 7 745
e 7 961
e 7 219
e 8 509
e 8 489
e 8 854
e 8 900
e 8 989
e 9 730
e 9 888
e 9 986
e 9 789
e 9 664
e 9 832
e 9 75
e 9 377
e 9 934
e 9 941
e 10 724
e 10 582
e 10 709
e 11 150
e 11 213
e 11 934
e 11 755
e 11 271
e 11 381
e 11 258
e 11 25
e 11 775
e 12 225
e 12 942
e 12 111
e 12 583
e 12 523
e 12 989
e 12 832
e 13 895
e 13 838
e 13 458
e 13 804
e 14 646
e 14 791
e 14 148
e 14 991
e 14 823
e 15 275
e 15 473
e 15 712
e 16 716
e 16 943
e 16 330
e 17 625
e 17 148
e 17 395
e 17 502
e 17 179
e 18 185
e 18 944
e 18 757
e 18 638
e 18 155
e 18 922
e 19 476
e 19 561
e 19 584
e 20 330
e 20 45
e 20 614
e 20 277
e 21 424
e 21 735
e 21 816
e 21 680
e 21 525
e 21 659
e 22 401
e 22 724
e 22 365
e 22 353
e 23 249
e 23 708
e 23 970
e 23 676
e 23 170
e 25 657
e 25 450
e 25 405
e 25 961
e 25 884
e 25 507
e 25 99
e 25 360
e 25 987
e 26 671
e 26 324
e 26 858
e 27 490
e 27 653
e 27 126
e 27 610
e 28 365
e 28 911
e 28 414
e 28 444
e 28 822
e 28 529
e 29 427
e 29 243
e 29 241
e 30 782
e 30 188
e 30 445
e 30 228
e 31 436
e 31 880
e 31 491
e 33 470
e 33 310
e 33 844
e 33 352
e 33 50
e 34 202
e 34 614
e 34 529
e 35 360
e 35 387
e 35 427
e 35 209
e 35 959
e 35 730
e 35 947
e 35 228
e 36 46
e 36 447
e 36 842
e 37 941
e 37 930
e 37 180
e 37 450
e 37 394
e 38 71
e 38 861
e 38 229
e 38 702
e 40 856
e 40 99
e 40 75
e 40 484
e 40 742
e 41 564
e 41 106
e 41 388
e 41 51
e 43 720
e 43 168
e 43 190
e 43 701
e 44 743
e 44 452
e 44 249
e 44 918
e 44 149
e 45 885
e 45 894
e 45 194
e 45 598
e 45 531
e 46 318
e 46 796
e 46 536
e 46 968
e 46 435
e 47 242
e 47 519
e 47 675
e 47 109
e 48 397
e 48 949
e 48 435
e 49 473
e 49 72
e 49 643
e 49 388
e 50 995
e 50 643
e 50 253
e 50 584
e 51 650
e 51 493
e 51 624
e 51 232
e 54 853
e 54 125
e 54 465
e 54 200
e 54 669
e 56 542
e 56 433
e 56 373
e 56 171
e 56 657
e 56 229
e 57 988
e 57 879
e 57 674
e 57 271
e 58 318
e 58 999
e 58 971
e 59 207
e 59 297
e 59 778
e 60 297
e 60 903
e 60 157
e 61 678
e 61 804
e 61 964
e 63 227
e 63 719
e 63 977
e 64 417
e 64 129
e 64 152
e 64 659
e 66 411
e 66 670
e 66 71
e 66 419
e 67 435
e 67 300
e 67 459
e 68 872
e 68 600
e 68 695
e 69 86
e 69 382
e 69 240
e 69 638
e 69 263
e 71 941
e 71 540
e 71 902
e 71 363
e 72 217
e 72 307
e 72 925
e 73 636
e 73 451
e 73 276
e 73 491
e 73 740
e 74 279
e 74 715
e 74 836
e 74 377
e 74 353
e 74 737
e 75 255
e 75 793
e 75 666
e 75 647
e 76 187
e 76 540
e 76 316
e 76 933
e 79 329
e 79 397
e 79 494
e 79 331
e 80 623
e 80 566
e 80 478
e 80 678
e 80 575
e 80 571
e 80 729
e 81 332
e 81 162
e 81 808
e 81 464
e 81 842
e 81 993
e 82 390
e 82 235
e 82 127
e 84 780
e 84 940
e 84 179
e 84 745
e 84 967
