n 2000
e 0 1539
e 0 858
e 0 845
e 0 604
e 1 1792
e 1 194
e 1 1222
e 1 1193
e 1 1808
e 3 1097
e 3 611
e 3 386
e 3 1530
e 3 784
e 3 98
e 3 493
e 3 740
e 3 582
e 3 1564
e 5 1167
e 5 954
e 5 1725
e 5 1236
e 6 1971
e 6 1417
e 6 1471
e 6 921
e 6 899
e 6 256
e 7 798
e 7 1153
e 7 156
e 7 1185
e 7 774
e 8 528
e 8 800
e 8 1480
e 8 1721
e 9 197
e 9 399
e 9 670
e 9 661
e 10 688
e 10 637
e 10 1100
e 10 1721
e 10 1697
e 10 1706
e 10 455
e 11 723
e 11 1843
e 11 1781
e 11 1661
e 13 609
e 13 1247
e 13 337
e 13 941
e 13 1220
e 13 1411
e 13 1628
e 13 903
e 14 1599
e 14 1705
e 14 1834
e 14 1152
e 14 1883
e 14 675
e 14 435
e 14 1585
e 16 391
e 16 1654
e 16 245
e 16 1435
e 16 1037
e 16 1864
e 16 1187
e 16 1604
e 16 487
e 17 1568
e 17 1912
e 17 355
e 17 1940
e 17 1186
e 17 1652
e 17 1049
e 17 330
e 18 838
e 18 1640
e 18 1362
e 19 191
e 19 447
e 19 1544
e 20 1958
e 20 1988
e 20 224
e 21 1654
e 21 774
e 21 1123
e 21 597
e 21 1487
e 21 606
e 23 177
e 23 1177
e 23 1075
e 23 275
e 23 617
e 23 563
e 24 917
e 24 1145
e 24 1953
e 26 435
e 26 748
e 26 1663
e 26 1162
e 26 919
e 27 906
e 27 1868
e 27 637
e 27 168
e 27 1767
e 29 296
e 29 1463
e 29 65
e 29 63
e 30 921
e 30 1711
e 30 330
e 30 90
e 31 59
e 31 739
e 31 1583
e 31 1334
e 31 1240
e 31 1172
e 31 916
e 32 1723
e 32 515
e 32 1419
e 32 1461
e 32 362
e 32 777
e 32 599
e 33 1878
e 33 709
e 33 384
e 33 45
e 33 1652
e 38 1531
e 38 1646
e 38 1721
e 38 1966
e 38 277
e 38 1399
e 38 1926
e 38 918
e 41 549
e 41 330
e 41 632
e 41 1192
e 42 1773
e 42 1636
e 42 358
e 42 1458
e 42 714
e 42 1782
e 43 424
e 43 1602
e 43 640
e 45 1735
e 45 635
e 45 1769
e 45 1921
e 45 1040
e 46 143
e 46 631
e 46 496
e 46 1394
e 46 689
e 46 337
e 46 1594
e 47 605
e 47 513
e 47 1212
e 48 1402
e 48 236
e 48 1235
e 48 637
e 48 483
e 48 1433
e 48 1024
e 48 1068
e 50 1610
e 50 1349
e 50 194
e 50 368
e 50 1709
e 51 161
e 51 1441
e 51 1980
e 53 100
e 53 765
e 53 1913
e 53 1186
e 54 733
e 54 898
e 54 885
e 56 68
e 56 329
e 56 279
e 56 152
e 57 1134
e 57 659
e 57 1168
e 58 109
e 58 161
e 58 1456
e 58 348
e 59 1122
e 59 1706
e 59 1042
e 59 1585
e 59 484
e 61 726
e 61 1978
e 61 954
e 61 883
e 63 936
e 63 132
e 65 351
e 65 998
e 67 738
e 67 1834
e 67 1250
e 67 743
e 67 580
e 68 1535
e 68 1239
e 68 1554
e 68 1014
e 69 593
e 69 1927
e 69 806
e 69 433
e 69 506
e 70 1569
e 70 280
e 70 795
e 70 658
e 71 1398
e 71 1101
e 71 598
e 71 124
e 71 105
e 71 1534
e 71 556
e 72 1482
e 72 1353
e 72 661
e 72 839
e 72 74
