n 34
e 0 1
e 0 33
e 1 3
e 1 4
e 1 21
e 1 22
e 1 33
e 2 3
e 2 5
e 2 8
e 2 33
e 3 6
e 4 5
e 4 7
e 5 7
e 6 7
e 6 32
e 7 15
e 7 16
e 7 33
e 8 10
e 8 11
e 8 33
e 9 10
e 9 12
e 9 20
e 9 33
e 10 13
e 11 12
e 11 14
e 12 14
e 13 14
e 13 32
e 14 15
e 14 17
e 14 33
e 15 18
e 16 17
e 16 19
e 17 19
e 18 19
e 18 31
e 19 26
e 19 27
e 19 33
e 20 21
e 20 23
e 20 33
e 21 24
e 22 23
e 22 25
e 23 25
e 24 25
e 24 32
e 25 26
e 25 28
e 25 33
e 26 29
e 27 28
e 27 30
e 28 30
e 29 30
e 29 31
e 30 33
