n 1000
e 0 931
e 0 652
e 0 234
e 0 722
e 0 962
e 2 69
e 2 887
e 2 558
e 2 599
e 2 841
e 2 278
e 3 667
e 3 364
e 3 175
e 3 993
e 3 411
e 4 172
e 4 143
e 4 943
e 4 997
e 4 413
e 4 466
e 5 469
e 5 393
e 5 515
e 5 487
e 5 697
e 5 648
e 6 468
e 6 467
e 6 970
e 6 894
e 7 65
e 7 818
e 7 107
e 7 125
e 7 30
e 8 996
e 8 707
e 8 960
e 10 775
e 10 532
e 10 96
e 10 426
e 10 350
e 10 183
e 11 840
e 11 745
e 11 506
e 14 423
e 14 457
e 14 448
e 14 223
e 17 270
e 17 903
e 17 622
e 17 173
e 17 97
e 18 73
e 18 720
e 18 196
e 18 606
e 18 979
e 20 817
e 20 878
e 20 629
e 20 229
e 20 621
e 20 660
e 20 879
e 20 738
e 20 400
e 23 860
e 23 887
e 23 444
e 23 650
e 23 139
e 25 47
e 25 619
e 25 872
e 25 374
e 25 387
e 27 628
e 27 940
e 27 814
e 30 386
e 30 580
e 30 538
e 30 628
e 30 277
e 31 401
e 31 330
e 31 866
e 31 768
e 32 708
e 32 688
e 32 860
e 32 631
e 32 240
e 32 156
e 33 731
e 33 789
e 33 238
e 33 803
e 33 988
e 34 902
e 34 297
e 34 944
e 35 71
e 35 331
e 35 61
e 35 187
e 39 896
e 39 561
e 39 321
e 39 735
e 39 163
e 40 622
e 40 562
e 40 494
e 41 627
e 41 975
e 41 885
e 42 187
e 42 589
e 42 74
e 42 262
e 42 522
e 43 734
e 43 422
e 43 298
e 45 845
e 45 316
e 45 187
e 45 535
e 45 335
e 46 879
e 46 83
e 46 165
e 47 150
e 47 465
e 48 706
e 48 339
e 48 82
e 48 979
e 48 762
e 49 676
e 49 868
e 49 367
e 51 126
e 51 629
e 51 311
e 51 275
e 51 552
e 51 389
e 52 213
e 52 420
e 52 778
e 53 943
e 53 150
e 53 785
e 53 237
e 53 376
e 53 757
e 53 500
e 53 477
e 56 444
e 56 679
e 56 800
e 56 96
e 56 897
e 60 145
e 60 420
e 60 356
e 60 323
e 60 737
e 61 395
e 61 909
e 62 179
e 62 95
e 62 171
e 62 794
e 62 892
e 62 510
e 63 198
e 63 850
e 63 966
e 65 829
e 65 628
e 65 427
e 65 933
e 65 978
e 66 833
e 66 643
e 66 362
e 68 312
e 68 813
e 68 977
e 68 508
e 68 243
e 69 204
e 69 751
e 69 381
e 69 965
e 69 746
e 69 609
e 70 983
e 70 894
e 70 726
e 70 505
e 70 303
e 70 71
e 70 104
e 71 345
e 71 861
e 71 979
e 71 528
e 73 509
e 73 528
e 73 92
e 73 968
e 73 559
e 73 618
e 74 636
e 74 463
e 74 148
e 74 562
e 74 984
e 74 695
e 75 619
e 75 215
e 75 600
e 75 490
e 75 531
e 75 878
e 76 119
e 76 135
e 76 507
e 76 550
e 76 359
e 76 395
e 76 327
e 77 551
e 77 786
e 77 371
e 77 711
e 77 472
e 77 721
e 78 288
e 78 80
e 78 81
e 78 705
e 78 252
e 78 126
e 79 810
e 79 286
e 79 450
e 79 466
e 80 661
e 80 135
e 80 525
e 80 517
e 81 386
e 81 446
e 81 576
e 82 633
e 82 621
e 83 353
e 83 905
e 84 174
e 84 658
e 84 748
e 84 271
e 84 183
e 84 312
e 85 469
e 85 615
e 85 305
e 85 930
e 85 271
e 85 743
e 86 555
e 86 183
e 86 565
e 87 978
e 87 530
e 87 578
e 87 891
e 88 997
e 88 966
e 88 199
e 88 672
e 88 761
e 88 300
e 88 451
e 91 284
e 91 781
e 91 519
e 92 235
e 92 754
e 92 872
e 92 252
e 92 266
e 92 897
e 92 706
e 92 777
e 92 441
e 93 118
e 93 426
e 93 154
e 93 739
e 93 629
e 93 786
e 94 202
e 94 887
e 94 381
e 95 342
e 95 560
e 95 366
e 96 98
e 96 973
e 96 389
e 96 385
e 96 679
e 97 287
e 97 236
e 97 705
e 97 258
e 98 772
e 98 208
e 98 345
e 98 836
e 98 450
e 99 427
e 99 342
e 99 104
e 99 969
e 101 158
e 101 501
e 101 683
e 101 436
e 101 829
e 101 596
e 101 473
e 102 198
e 102 272
e 102 106
e 102 187
e 102 692
e 104 545
e 104 108
e 104 609
e 104 131
e 104 449
e 104 288
e 106 556
e 106 526
e 106 328
e 106 960
e 107 743
e 107 641
e 107 363
e 108 512
e 108 645
e 108 956
e 109 904
e 109 977
e 109 989
e 109 278
e 109 685
e 110 819
e 110 813
e 110 407
e 111 385
e 111 613
e 111 694
e 111 833
e 113 381
e 113 926
e 113 938
e 113 599
e 113 477
e 113 524
e 116 671
e 116 447
e 116 149
e 116 324
e 117 355
e 117 712
e 117 967
e 118 739
e 118 501
e 118 476
e 118 653
e 118 269
e 118 626
e 118 379
e 118 504
e 119 285
e 119 559
e 119 184
e 119 374
e 119 390
e 120 755
e 120 275
e 120 397
e 122 198
e 122 389
e 122 604
e 122 391
e 122 954
e 124 266
e 124 287
e 124 831
e 125 958
e 125 219
e 126 474
e 126 441
e 126 998
e 126 553
e 128 617
e 128 989
e 128 986
e 128 252
e 128 474
e 128 504
e 128 383
e 131 819
e 131 443
e 132 355
e 132 736
e 132 722
e 132 702
e 134 277
e 134 991
e 134 526
e 135 789
e 135 590
e 135 579
e 135 660
e 135 408
e 138 287
e 138 149
e 138 770
e 138 176
e 138 678
e 138 596
e 139 409
e 139 546
e 139 628
e 140 303
e 140 824
e 140 268
e 140 727
e 140 425
e 141 957
e 141 557
e 141 709
e 141 801
e 141 438
e 141 684
e 143 344
e 143 677
e 143 216
e 143 759
e 143 945
e 143 686
e 144 377
e 144 928
e 144 398
e 144 211
e 145 931
e 145 719
e 145 422
e 145 675
e 145 953
e 145 715
e 147 344
e 147 894
e 147 768
e 147 701
e 147 746
e 147 779
e 147 362
e 148 677
e 148 795
e 148 315
e 148 832
e 148 671
e 149 997
e 149 850
e 149 391
e 149 237
e 149 914
e 150 378
e 150 939
e 150 541
e 150 626
e 150 958
e 152 353
e 152 570
e 152 343
e 152 566
e 153 991
e 153 919
e 153 740
e 153 568
e 153 596
e 153 642
e 153 778
e 153 612
e 154 435
e 154 384
e 154 174
e 154 183
e 155 789
e 155 299
e 155 885
e 156 298
e 156 450
e 156 683
e 156 975
e 156 269
e 156 833
e 158 986
e 158 230
e 158 398
e 158 338
e 158 465
e 159 664
e 159 381
e 159 366
e 159 577
e 159 874
e 160 629
e 160 965
e 160 442
e 161 605
e 161 591
e 161 964
e 162 933
e 162 349
e 162 784
e 163 542
e 163 487
e 164 215
e 164 819
e 164 322
e 164 484
e 164 926
e 164 993
e 165 730
e 165 722
e 165 931
e 166 598
e 166 604
e 166 350
e 168 373
e 168 374
e 168 213
e 169 897
e 169 710
e 169 375
e 169 327
e 169 329
e 169 894
e 171 501
e 171 437
e 171 661
e 171 623
e 171 224
e 171 684
e 171 199
e 171 745
e 171 388
e 172 734
e 172 296
e 173 510
e 173 761
e 174 972
e 174 295
e 174 395
e 175 941
e 175 994
e 176 593
e 176 742
e 178 966
e 178 304
e 178 943
e 178 465
e 179 202
e 179 296
e 179 844
e 179 217
e 179 463
e 181 769
e 181 374
e 181 323
e 181 219
e 181 693
e 181 330
e 181 744
e 183 669
e 183 338
e 183 193
e 184 390
e 184 538
e 184 676
e 187 674
e 187 930
e 189 967
e 189 846
e 189 672
e 189 648
e 189 645
e 191 295
e 191 925
e 191 204
e 192 560
e 192 555
e 192 198
e 192 874
e 193 465
e 193 326
e 194 940
e 194 486
e 194 484
e 194 975
e 195 236
e 195 499
e 195 258
e 195 973
e 195 636
e 196 757
e 196 326
e 196 528
e 197 828
e 197 587
e 197 262
e 198 313
e 198 533
e 198 935
e 198 908
e 199 212
e 202 451
e 202 722
e 202 275
e 202 316
e 202 739
e 202 794
e 204 300
e 204 395
e 204 701
e 205 965
e 205 797
e 205 610
e 206 579
e 206 770
e 206 936
e 208 319
e 208 537
e 209 995
e 209 745
e 209 368
e 209 484
e 211 673
e 211 762
e 211 779
e 212 293
e 212 817
e 213 908
e 213 498
e 213 582
e 214 482
e 214 743
e 214 399
e 214 367
e 214 518
e 214 848
e 215 985
e 215 381
e 215 712
e 215 222
e 215 802
e 215 666
e 215 312
e 216 295
e 216 790
e 216 544
e 216 764
e 216 708
e 216 823
e 216 917
e 217 399
e 217 569
e 217 513
e 217 685
e 218 405
e 218 935
e 218 317
e 219 810
e 219 934
e 219 860
e 220 962
e 220 411
e 220 833
e 220 323
e 220 391
e 220 745
e 220 224
e 220 317
e 221 316
e 221 992
e 221 243
e 221 865
e 221 279
e 222 283
e 222 679
e 223 760
e 223 887
e 224 467
e 224 246
e 224 678
e 224 251
e 229 752
e 229 237
e 230 734
e 230 901
e 230 574
e 231 533
e 231 894
e 231 591
e 233 447
e 233 483
e 233 512
e 233 759
e 233 698
e 233 761
e 234 258
e 234 297
e 234 615
e 235 719
e 235 758
e 235 510
e 235 960
e 236 532
e 236 945
e 236 561
e 236 364
e 236 664
e 236 507
e 237 990
e 237 561
e 237 519
e 237 467
e 237 297
e 238 250
e 238 342
e 239 368
e 239 748
e 239 535
e 239 460
e 239 464
e 240 388
e 240 971
e 241 934
e 241 672
e 241 901
e 241 897
e 241 938
e 243 886
e 243 916
e 243 524
e 244 630
e 244 744
e 244 284
e 244 683
e 244 604
e 245 858
e 245 964
e 245 814
e 245 687
e 246 814
e 246 694
e 246 795
e 246 716
e 246 430
e 246 421
e 247 783
e 247 683
e 247 838
e 247 387
e 249 475
e 249 391
e 249 429
e 250 800
e 250 712
e 250 713
e 251 523
e 251 915
e 251 940
e 252 983
e 252 485
e 252 942
e 252 967
e 258 297
e 258 745
e 258 891
e 258 332
e 260 486
e 260 354
e 260 588
e 260 362
e 260 474
e 260 618
e 260 468
e 262 268
e 262 802
e 262 973
e 262 892
e 262 996
e 266 301
e 266 426
e 266 287
e 266 951
e 266 955
e 266 407
e 266 601
e 267 444
e 267 998
e 267 856
e 268 503
e 268 438
e 268 285
e 268 813
e 268 556
e 268 731
e 269 994
e 269 657
e 269 863
e 269 534
e 270 971
e 270 925
e 271 430
e 271 813
e 271 697
e 271 846
e 272 735
e 272 801
e 272 286
e 272 328
e 274 411
e 274 824
e 274 436
e 274 963
e 275 907
e 275 771
e 276 936
e 276 938
e 276 674
e 276 486
e 277 975
e 277 574
e 278 801
e 279 365
e 279 676
e 279 285
e 279 301
e 279 793
e 279 916
e 280 648
e 280 642
e 280 460
e 280 281
e 281 607
e 281 550
e 281 489
e 281 737
e 282 377
e 282 819
e 282 443
e 283 993
e 283 862
e 283 760
e 283 288
e 283 613
e 284 691
e 284 772
e 285 336
e 286 693
e 286 526
e 287 380
e 287 738
e 287 899
e 288 828
e 288 426
e 288 681
e 289 415
e 289 944
e 289 921
e 291 329
e 291 997
e 291 722
e 291 887
e 292 900
e 292 594
e 292 439
e 292 688
e 292 790
e 292 336
e 292 721
e 293 477
e 293 465
e 293 591
e 295 406
e 295 812
e 295 601
e 296 642
e 296 632
e 296 362
e 297 818
e 297 513
e 297 421
e 298 675
e 298 384
e 298 492
e 298 860
e 299 872
e 299 653
e 299 463
e 300 588
e 301 587
e 301 847
e 301 934
e 302 401
e 302 577
e 302 525
e 303 586
e 303 321
e 303 680
e 303 514
e 303 727
e 303 386
e 303 975
e 304 988
e 304 730
e 305 869
e 305 515
e 305 582
e 307 906
e 307 381
e 307 495
e 309 687
e 309 330
e 309 614
e 309 846
e 309 631
e 309 824
e 310 627
e 310 887
e 310 965
e 310 832
e 311 405
e 311 962
e 312 667
e 312 584
e 312 457
e 312 908
e 312 943
e 312 657
e 313 707
e 313 534
e 313 442
e 315 941
e 315 806
e 315 815
e 316 421
e 316 706
e 316 329
e 317 378
e 317 868
e 319 684
e 319 757
e 319 692
e 321 972
e 322 656
e 322 954
e 323 747
e 323 854
e 323 355
e 324 837
e 324 607
e 326 672
e 327 349
e 327 899
